DI,StructuralIntegrity,ExteriorCharm
1207,8,Common
1208,4,Common
1209,6,Gleaming
1210,5,Gleaming
1211,7,Common
1212,7,Common
1213,5,Gleaming
1214,7,Common
1215,5,Gleaming
1215,5,Gleaming
1216,5,Common
1217,5,Gleaming
1218,6,Gleaming
1219,7,Common
1220,5,Common
1221,5,Common
1222,5,Common
1223,5,Gleaming
1224,8,Common
1225,5,Gleaming
1226,7,Common
1227,5,Gleaming
1228,5,Common
1229,5,Common
1230,5,Gleaming
1231,8,Common
1232,5,Common
1233,5,Common
1234,5,Common
1235,6,Common
1236,8,Gleaming
1237,7,Gleaming
1238,5,Common
1239,7,Common
1240,5,Enchanting
1241,7,Common
1241,7,Common
1242,5,Common
1243,5,Gleaming
1244,5,Gleaming
1245,8,Common
1246,5,Common
1247,5,Common
1248,7,Gleaming
1249,7,Common
1250,3,Common
1251,7,Common
1252,7,Common
1253,7,Common
1254,7,Common
1255,7,Common
1256,7,Common
1257,5,Gleaming
1258,5,Common
1259,5,Common
1260,7,Gleaming
1261,6,Common
1262,8,Common
1263,4,Common
1264,7,Common
1265,4,Common
1266,5,Gleaming
1267,5,Common
1268,5,Gleaming
1269,7,Common
1270,5,Common
1271,5,Gleaming
1272,3,Common
1273,5,Gleaming
1274,5,Gleaming
1275,5,Gleaming
1276,6,Common
1277,5,Gleaming
1278,5,Gleaming
1279,5,Common
1280,6,Common
1281,6,Common
1282,6,Gleaming
1283,5,Common
1284,5,Common
1285,7,Common
1286,5,Gleaming
1287,7,Common
1288,6,Common
1289,3,Modest
1290,7,Gleaming
1291,5,Gleaming
1292,7,Common
1293,6,Common
1294,7,Common
1295,7,Common
1296,5,Common
1297,5,Gleaming
1298,5,Gleaming
1299,5,Common
1300,5,Gleaming
1301,5,Gleaming
1302,6,Common
1303,8,Common
1304,5,Gleaming
1305,5,Gleaming
1306,6,Common
1307,5,Gleaming
1308,5,Enchanting
1309,4,Common
1310,6,Common
1311,6,Common
1312,5,Gleaming
1313,5,Gleaming
1314,6,Gleaming
1315,6,Common
1316,5,Gleaming
1317,7,Gleaming
1318,8,Common
1319,7,Common
1320,5,Gleaming
1321,5,Common
1322,8,Common
1323,7,Common
1324,6,Common
1325,7,Common
1326,5,Gleaming
1327,8,Common
1328,6,Common
1329,5,Common
1330,6,Common
1331,5,Gleaming
1332,3,Common
1333,5,Gleaming
1334,5,Common
1335,5,Common
1336,4,Common
1337,5,Common
1338,5,Gleaming
1339,8,Common
1340,5,Gleaming
1341,5,Common
1342,6,Common
1343,7,Common
1344,5,Gleaming
1345,5,Gleaming
1346,6,Common
1347,5,Gleaming
1348,5,Common
1349,4,Gleaming
1350,5,Gleaming
1351,5,Enchanting
1352,7,Common
1353,5,Gleaming
1354,7,Common
1355,5,Gleaming
1356,7,Common
1357,6,Common
1358,5,Common
1359,3,Common
1360,5,Gleaming
1361,5,Gleaming
1362,5,Gleaming
1363,5,Gleaming
1364,4,Common
1365,5,Gleaming
1366,5,Gleaming
1367,5,Enchanting
1368,6,Gleaming
1369,5,Enchanting
1370,7,Common
1371,6,Common
1372,5,Gleaming
1372,5,Gleaming
1373,6,Common
1374,7,Gleaming
1375,5,Gleaming
1376,7,Common
1377,5,Gleaming
1378,6,Common
1379,2,Gleaming
1380,5,Gleaming
1381,5,Gleaming
1382,6,Common
1383,5,Common
1384,5,Common
1385,6,Common
1386,6,Common
1387,5,Common
1388,5,Gleaming
1389,3,Common
1390,5,Enchanting
1391,5,Common
1392,4,Common
1393,3,Modest
1394,6,Common
1395,5,Gleaming
1396,5,Gleaming
1397,5,Common
1398,5,Common
1399,5,Common
1400,7,Common
1401,5,Common
1402,6,Common
1403,8,Gleaming
1404,5,Common
1405,6,Common
1406,7,Common
1407,9,Common
1408,5,Common
1409,5,Gleaming
1410,5,Gleaming
1411,8,Gleaming
1412,5,Gleaming
1413,6,Common
1414,5,Gleaming
1415,5,Gleaming
1416,6,Common
1417,4,Common
1418,5,Gleaming
1419,4,Common
1420,5,Common
1421,6,Common
1422,7,Common
1423,7,Common
1424,4,Common
1425,5,Common
1426,7,Common
1427,6,Common
1428,5,Gleaming
1429,7,Common
1430,7,Common
1431,5,Gleaming
1432,5,Common
1433,5,Common
1434,5,Enchanting
1435,5,Gleaming
1436,5,Gleaming
1437,5,Gleaming
1438,5,Common
1439,5,Gleaming
1440,2,Common
1441,5,Common
1442,5,Enchanting
1443,3,Common
1444,5,Gleaming
1445,5,Gleaming
1446,6,Common
1447,5,Common
1448,7,Common
1449,7,Common
1450,5,Common
1451,5,Common
1452,5,Common
1453,8,Common
1454,5,Common
1455,6,Common
1456,6,Common
1457,5,Gleaming
1458,5,Common
1459,5,Common
1460,7,Gleaming
1461,5,Enchanting
1462,5,Gleaming
1463,7,Common
1464,6,Common
1465,5,Common
1466,8,Common
1467,5,Common
1468,3,Common
1469,5,Gleaming
1470,5,Gleaming
1471,7,Common
1472,6,Common
1473,7,Common
1474,8,Gleaming
1475,7,Common
1476,8,Common
1477,5,Gleaming
1478,7,Gleaming
1479,5,Common
1480,5,Common
1481,5,Gleaming
1482,9,Enchanting
1483,4,Common
1484,5,Gleaming
1485,5,Common
1486,5,Gleaming
1487,5,Common
1488,5,Common
1489,5,Common
1490,5,Common
1491,6,Common
1492,5,Enchanting
1493,7,Common
1494,4,Common
1495,5,Gleaming
1496,5,Common
1497,8,Common
1498,5,Common
1499,5,Common
1500,5,Gleaming
1501,6,Common
1502,5,Gleaming
1503,5,Common
1504,7,Common
1505,5,Gleaming
1506,5,Common
1507,5,Enchanting
1508,5,Gleaming
1509,5,Common
1510,5,Common
1511,8,Common
1512,8,Common
1513,5,Gleaming
1514,5,Enchanting
1515,5,Common
1516,8,Common
1517,5,Gleaming
1518,3,Common
1519,5,Gleaming
1520,6,Common
1521,5,Gleaming
1522,4,Common
1523,6,Common
1524,5,Enchanting
1525,5,Gleaming
1526,6,Common
1527,5,Gleaming
1528,5,Common
1529,5,Common
1530,5,Common
1531,5,Gleaming
1532,5,Common
1533,5,Gleaming
1534,6,Common
1535,7,Common
1536,5,Enchanting
1537,5,Gleaming
1538,5,Common
1539,6,Common
1540,7,Common
1541,6,Common
1542,6,Common
1543,7,Common
1544,5,Gleaming
1545,7,Common
1546,5,Gleaming
1547,3,Common
1548,5,Enchanting
1549,5,Gleaming
1550,5,Gleaming
1551,5,Common
1552,5,Gleaming
1553,5,Gleaming
1554,5,Gleaming
1555,5,Gleaming
1556,5,Common
1557,6,Common
1558,5,Gleaming
1559,6,Common
1560,5,Common
1561,6,Common
1562,7,Common
1563,7,Common
1564,6,Common
1565,3,Common
1566,5,Common
1567,7,Common
1568,6,Common
1569,5,Common
1570,5,Enchanting
1571,5,Common
1572,8,Gleaming
1573,8,Common
1574,5,Gleaming
1575,7,Common
1576,7,Common
1577,6,Common
1578,5,Common
1579,5,Gleaming
1580,6,Common
1581,5,Gleaming
1582,5,Gleaming
1583,5,Gleaming
1584,5,Gleaming
1585,5,Common
1586,5,Common
1587,4,Common
1588,8,Gleaming
1589,9,Common
1590,5,Common
1591,5,Common
1592,6,Common
1593,7,Common
1594,5,Common
1595,7,Gleaming
1596,4,Common
1597,5,Common
1598,9,Common
1599,6,Common
1600,5,Gleaming
1601,6,Common
1602,6,Common
1603,8,Gleaming
1604,6,Common
1605,5,Gleaming
1606,6,Common
1607,5,Common
1608,6,Common
1609,8,Common
1610,7,Common
1611,7,Common
1612,5,Gleaming
1613,5,Gleaming
1614,5,Gleaming
1615,5,Common
1616,7,Common
1617,5,Common
1618,5,Gleaming
1619,5,Common
1620,6,Common
1621,4,Common
1621,4,Common
1622,7,Common
1623,6,Common
1624,7,Common
1625,6,Gleaming
1626,5,Common
1627,6,Enchanting
1628,6,Common
1629,6,Common
1630,5,Gleaming
1631,5,Gleaming
1632,5,Common
1633,7,Common
1634,5,Gleaming
1635,6,Common
1636,5,Gleaming
1637,5,Gleaming
1638,8,Common
1639,5,Common
1640,5,Gleaming
1641,7,Gleaming
1642,5,Gleaming
1643,4,Common
1644,7,Common
1645,5,Common
1646,5,Common
1647,5,Gleaming
1648,7,Common
1649,4,Common
1650,5,Gleaming
1651,5,Common
1652,5,Enchanting
1653,5,Gleaming
1654,6,Common
1655,5,Gleaming
1656,6,Common
1657,3,Modest
1658,5,Common
1659,5,Modest
1660,5,Gleaming
1661,5,Common
1662,5,Common
1663,5,Common
1664,5,Gleaming
1665,5,Gleaming
1666,5,Common
1667,6,Common
1668,5,Common
1669,5,Gleaming
1670,5,Gleaming
1671,6,Common
1672,6,Common
1673,5,Gleaming
1674,6,Common
1675,5,Common
1676,8,Gleaming
1677,6,Common
1678,5,Common
1679,5,Gleaming
1680,5,Gleaming
1681,6,Gleaming
1682,6,Common
1683,5,Common
1684,5,Common
1685,5,Gleaming
1686,8,Common
1687,7,Common
1688,5,Gleaming
1689,5,Common
1690,7,Common
1691,5,Common
1692,5,Gleaming
1693,8,Common
1694,7,Common
1695,5,Gleaming
1696,4,Common
1697,7,Common
1698,7,Common
1699,5,Common
1700,6,Common
1701,7,Common
1702,6,Common
1703,5,Common
1704,5,Gleaming
1705,5,Enchanting
1706,8,Common
1707,5,Gleaming
1708,5,Enchanting
1709,6,Gleaming
1710,5,Common
1711,7,Common
1712,5,Gleaming
1713,5,Gleaming
1714,5,Gleaming
1715,8,Common
1716,7,Gleaming
1717,5,Gleaming
1718,8,Gleaming
1719,6,Common
1720,5,Gleaming
1721,6,Common
1722,5,Common
1723,5,Common
1724,5,Enchanting
1725,5,Gleaming
1726,5,Gleaming
1727,5,Common
1728,5,Common
1729,9,Common
1730,5,Common
1731,5,Enchanting
1732,5,Gleaming
1733,6,Common
1734,6,Common
1735,5,Gleaming
1736,6,Common
1737,8,Enchanting
1738,5,Gleaming
1739,5,Common
1740,7,Common
1741,5,Common
1742,5,Gleaming
1743,6,Common
1744,4,Common
1745,7,Common
1746,5,Common
1747,5,Gleaming
1748,5,Common
1749,7,Common
1750,5,Gleaming
1751,5,Gleaming
1752,5,Common
1753,6,Common
1754,4,Common
1755,7,Common
1756,6,Common
1757,5,Common
1758,6,Gleaming
1759,4,Common
1760,6,Common
1761,5,Gleaming
1762,5,Common
1763,5,Common
1764,7,Common
1765,5,Gleaming
1766,5,Common
1767,6,Common
1768,5,Common
1769,6,Common
1770,6,Common
1771,3,Common
1772,7,Common
1773,7,Common
1774,5,Common
1775,6,Common
1776,5,Common
1777,8,Common
1778,7,Common
1779,6,Common
1780,4,Common
1781,5,Common
1782,6,Common
1783,5,Gleaming
1784,7,Common
1785,5,Common
1786,5,Enchanting
1787,5,Common
1788,5,Gleaming
1789,7,Common
1790,5,Common
1791,5,Common
1792,5,Gleaming
1793,4,Common
1794,6,Common
1795,6,Gleaming
1796,5,Gleaming
1797,6,Common
1798,5,Gleaming
1799,6,Common
1800,5,Gleaming
1801,6,Common
1802,5,Common
1803,7,Common
1804,5,Gleaming
1805,6,Common
1806,5,Common
1807,5,Gleaming
1808,5,Gleaming
1809,6,Common
1810,5,Gleaming
1811,5,Common
1812,5,Gleaming
1813,7,Common
1814,5,Common
1815,7,Common
1816,5,Gleaming
1817,5,Common
1818,5,Gleaming
1819,6,Common
1820,5,Common
1821,6,Common
1822,5,Gleaming
1823,5,Gleaming
1824,5,Gleaming
1825,6,Gleaming
1826,7,Common
1827,5,Gleaming
1828,8,Common
1829,5,Gleaming
1830,6,Common
1831,8,Common
1832,5,Gleaming
1833,5,Common
1834,5,Common
1835,5,Gleaming
1836,6,Common
1837,5,Common
1838,5,Common
1839,7,Common
1840,7,Gleaming
1841,7,Common
1842,5,Common
1843,5,Common
1844,5,Common
1845,5,Common
1846,7,Modest
1847,8,Common
1848,5,Enchanting
1849,5,Enchanting
1850,5,Common
1851,7,Common
1852,2,Common
1853,6,Common
1854,6,Common
1855,5,Common
1856,7,Common
1857,6,Common
1858,7,Common
1859,5,Gleaming
1860,5,Gleaming
1861,5,Common
1862,8,Common
1863,7,Common
1864,5,Common
1865,5,Gleaming
1866,6,Common
1867,5,Common
1868,6,Common
1869,5,Gleaming
1870,5,Common
1871,5,Gleaming
1872,6,Gleaming
1872,6,Gleaming
1873,5,Gleaming
1874,5,Common
1875,5,Common
1876,8,Common
1877,6,Common
1878,8,Common
1879,6,Gleaming
1880,5,Gleaming
1881,5,Gleaming
1882,5,Common
1883,5,Common
1884,3,Common
1885,5,Common
1886,5,Gleaming
1887,5,Common
1888,7,Common
1889,5,Common
1890,6,Common
1891,5,Enchanting
1892,6,Common
1893,5,Gleaming
1894,8,Gleaming
1895,5,Gleaming
1896,5,Common
1897,4,Common
1898,5,Common
1899,5,Gleaming
1900,6,Common
1901,5,Gleaming
1902,5,Common
1903,5,Common
1904,6,Common
1905,5,Common
1906,6,Common
1907,5,Common
1908,5,Common
1909,5,Gleaming
1910,5,Gleaming
1911,8,Common
1912,5,Common
1913,6,Common
1914,5,Gleaming
1915,5,Common
1916,5,Gleaming
1917,7,Common
1918,7,Common
1919,5,Common
1920,5,Gleaming
1921,5,Gleaming
1922,8,Common
1923,9,Gleaming
1924,3,Common
1925,6,Gleaming
1926,7,Common
1926,7,Common
1927,5,Common
1928,7,Common
1929,5,Gleaming
1930,5,Gleaming
1931,8,Common
1932,5,Gleaming
1933,9,Gleaming
1934,5,Enchanting
1935,6,Common
1936,5,Gleaming
1937,8,Modest
1938,5,Common
1939,7,Common
1940,5,Gleaming
1941,6,Common
1942,5,Gleaming
1943,5,Enchanting
1944,6,Common
1945,9,Enchanting
1946,6,Common
1947,5,Gleaming
1948,5,Gleaming
1949,6,Gleaming
1950,9,Gleaming
1951,6,Common
1952,5,Common
1953,5,Gleaming
1954,5,Gleaming
1955,5,Gleaming
1956,5,Gleaming
1957,6,Common
1958,6,Gleaming
1959,9,Gleaming
1960,5,Common
1961,5,Gleaming
1962,5,Gleaming
1963,7,Gleaming
1964,5,Gleaming
1965,5,Common
1966,5,Common
1967,9,Gleaming
1968,7,Common
1969,5,Gleaming
1970,9,Common
1971,8,Common
1972,4,Common
1973,5,Common
1974,5,Common
1975,3,Common
1976,6,Common
1977,8,Common
1978,5,Common
1979,5,Gleaming
1980,8,Common
1981,1,Common
1982,5,Gleaming
1983,6,Common
1984,5,Gleaming
1985,6,Gleaming
1986,5,Common
1987,5,Common
1988,5,Gleaming
1989,6,Common
1990,6,Common
1991,5,Gleaming
1991,5,Gleaming
1992,7,Common
1993,7,Common
1994,5,Common
1995,5,Gleaming
1996,5,Gleaming
1997,6,Common
1998,5,Common
1999,5,Common
1999,5,Common
2000,5,Gleaming
2001,4,Common
2002,5,Gleaming
2003,5,Gleaming
2004,5,Common
2005,5,Enchanting
2006,7,Common
2007,5,Gleaming
2008,6,Common
2009,6,Common
2010,4,Common
2011,6,Gleaming
2012,5,Gleaming
2013,5,Gleaming
2014,5,Gleaming
2015,7,Common
2016,8,Common
2017,7,Common
2018,6,Common
2019,5,Gleaming
2020,5,Gleaming
2021,5,Gleaming
2022,6,Common
2022,6,Common
2023,5,Enchanting
2024,5,Gleaming
2025,5,Common
2026,6,Common
2027,5,Gleaming
2028,5,Gleaming
2029,5,Common
2030,7,Common
2031,5,Gleaming
2032,5,Common
2033,5,Common
2034,7,Gleaming
2035,5,Common
2036,5,Gleaming
2037,5,Common
2038,5,Common
2039,7,Gleaming
2040,5,Common
2041,7,Common
2042,5,Common
2043,6,Common
2044,5,Gleaming
2045,5,Gleaming
2046,7,Common
2047,5,Common
2048,6,Common
2049,6,Gleaming
2050,7,Common
2051,5,Gleaming
2052,5,Enchanting
2053,7,Common
2054,6,Common
2055,7,Common
2056,6,Common
2057,7,Common
2058,5,Enchanting
2059,6,Common
2060,5,Gleaming
2061,5,Common
2062,5,Common
2063,5,Gleaming
2064,5,Gleaming
2065,8,Common
2066,5,Gleaming
2067,5,Common
2068,5,Common
2069,5,Gleaming
2070,5,Common
2071,7,Common
2072,5,Gleaming
2073,4,Common
2073,4,Common
2074,8,Common
2075,5,Gleaming
2076,7,Common
2077,4,Common
2078,6,Common
2079,7,Common
2080,8,Common
2081,7,Common
2082,5,Common
2083,6,Common
2084,6,Gleaming
2085,6,Gleaming
2086,5,Common
2087,5,Common
2088,5,Common
2089,6,Common
2090,6,Modest
2091,5,Common
2092,6,Gleaming
2093,4,Common
2094,5,Common
2095,5,Common
2096,5,Common
2097,5,Gleaming
2098,5,Common
2099,7,Common
2100,4,Common
2101,5,Gleaming
2102,5,Common
2103,5,Gleaming
2104,5,Common
2105,5,Gleaming
2106,7,Common
2107,5,Common
2108,5,Gleaming
2109,5,Common
2110,6,Common
2111,6,Common
2112,6,Common
2113,5,Enchanting
2114,5,Gleaming
2115,5,Gleaming
2116,6,Common
2117,5,Common
2118,7,Common
2119,5,Gleaming
2120,5,Common
2121,5,Gleaming
2122,7,Common
2123,5,Common
2124,7,Common
2125,5,Gleaming
2126,6,Common
2127,5,Common
2128,5,Gleaming
2129,6,Common
2130,5,Gleaming
2131,5,Common
2132,3,Common
2133,5,Common
2134,5,Common
2135,5,Gleaming
2136,5,Enchanting
2137,5,Enchanting
2138,7,Gleaming
2139,5,Common
2140,5,Gleaming
2141,6,Gleaming
2142,8,Common
2143,7,Common
2144,5,Gleaming
2145,5,Gleaming
2146,9,Gleaming
2147,7,Common
2148,7,Common
2149,5,Gleaming
2150,7,Gleaming
2151,5,Common
2152,8,Common
2153,5,Gleaming
2154,5,Gleaming
2155,5,Gleaming
2156,5,Common
2157,5,Common
2158,5,Gleaming
2159,7,Gleaming
2160,5,Common
2161,5,Common
2162,6,Modest
2163,4,Modest
2164,5,Gleaming
2165,7,Common
2166,5,Gleaming
2167,7,Common
2168,9,Common
2169,5,Common
2170,5,Enchanting
2171,5,Common
2172,6,Common
2173,5,Common
2174,6,Common
2175,6,Modest
2176,6,Common
2177,5,Common
2178,5,Common
2179,7,Common
2180,5,Common
2181,3,Modest
2182,5,Common
2183,6,Common
2184,5,Enchanting
2185,5,Common
2186,6,Common
2187,5,Gleaming
2188,5,Gleaming
2189,5,Gleaming
2190,8,Gleaming
2191,5,Common
2192,5,Gleaming
2192,5,Gleaming
2193,7,Gleaming
2194,5,Common
2195,5,Common
2196,5,Gleaming
2197,5,Common
2198,5,Common
2199,5,Gleaming
2200,6,Common
2201,5,Gleaming
2202,5,Common
2203,6,Common
2204,5,Common
2205,6,Common
2206,5,Gleaming
2207,5,Gleaming
2208,5,Common
2209,6,Common
2210,5,Gleaming
2211,5,Gleaming
2212,7,Common
2213,5,Common
2214,7,Common
2215,5,Common
2216,7,Modest
2217,5,Gleaming
2218,6,Common
2219,5,Enchanting
2220,5,Gleaming
2221,6,Common
2222,8,Gleaming
2223,5,Gleaming
2224,6,Common
2225,5,Gleaming
2226,5,Gleaming
2227,5,Common
2228,5,Gleaming
2229,8,Gleaming
2230,5,Common
2231,5,Common
2232,7,Common
2233,5,Common
2234,6,Common
2235,5,Common
2236,5,Enchanting
2237,5,Gleaming
2238,6,Common
2239,5,Enchanting
2240,7,Common
2241,5,Common
2242,6,Common
2243,6,Common
2244,5,Gleaming
2245,4,Common
2246,7,Common
2247,5,Common
2248,7,Common
2249,5,Common
2250,7,Modest
2251,3,Modest
2252,5,Modest
2253,3,Common
2254,5,Common
2255,5,Common
2255,5,Common
2256,6,Common
2257,5,Gleaming
2258,5,Gleaming
2259,6,Common
2260,5,Gleaming
2261,4,Common
2262,5,Gleaming
2263,8,Common
2264,5,Common
2265,6,Common
2266,5,Gleaming
2267,7,Gleaming
2268,5,Common
2269,5,Gleaming
2270,5,Gleaming
2271,8,Enchanting
2272,7,Common
2273,7,Common
2274,5,Gleaming
2275,5,Gleaming
2276,5,Gleaming
2277,7,Common
2278,5,Common
2279,5,Common
2280,5,Common
2281,5,Common
2282,7,Common
2283,3,Common
2284,5,Common
2285,5,Gleaming
2286,5,Enchanting
2287,7,Common
2288,7,Common
2289,7,Common
2290,5,Common
2291,7,Common
2292,5,Gleaming
2293,6,Common
2294,6,Common
2295,8,Common
2296,6,Common
2297,6,Common
2298,5,Gleaming
2299,5,Gleaming
2300,7,Common
2301,5,Common
2302,5,Gleaming
2303,6,Gleaming
2304,5,Enchanting
2305,5,Gleaming
2306,5,Gleaming
2307,5,Gleaming
2308,5,Common
2309,5,Common
2310,5,Common
2311,6,Common
2312,7,Common
2313,5,Common
2314,5,Gleaming
2315,5,Common
2316,5,Gleaming
2317,5,Common
2318,5,Common
2319,5,Gleaming
2320,5,Gleaming
2321,6,Common
2322,5,Gleaming
2323,6,Common
2324,5,Gleaming
2325,6,Common
2326,6,Gleaming
2327,6,Common
2328,7,Common
2329,5,Common
2330,5,Enchanting
2331,5,Gleaming
2332,5,Gleaming
2333,5,Gleaming
2334,5,Common
2335,5,Common
2336,3,Common
2337,5,Enchanting
2338,7,Common
2339,1,Common
